date,location,district,water_ph,turbidity_ntu,ecoli_count_per_100ml,total_coliform_count,temperature_celsius,rainfall_mm_last_7days,population_density,sanitation_score,distance_to_healthcare_km,water_source_type,previous_outbreak_history,is_monsoon_season,month,outbreak_occurred,case_count,outbreak_probability,severity_level,disease_type,age_group_affected
2024-10-16,"Silchar, Assam",Assam,7.6,3.95,91.29,225.32,19.9,0.8,265.0,4.5,2.9,Piped Supply,0,0,10,0,0,0.29,None,None,None
2024-11-23,"Agartala, Tripura",Tripura,6.78,2.23,11.31,32.5,20.0,1.7,75.0,3.9,5.8,Bore Well,0,0,11,1,14,0.26,Medium,Diarrhea,Adults
2024-06-01,"Kohima, Nagaland",Nagaland,6.28,0.3,446.05,2184.28,28.2,65.8,141.0,1.0,0.5,Surface Water,0,1,6,1,59,0.95,High,Diarrhea,Mixed
2024-08-26,"Tura, Meghalaya",Meghalaya,6.19,3.3,23.74,60.64,23.1,131.8,65.0,2.5,3.5,Bore Well,0,1,8,1,39,0.86,High,Diarrhea,Elderly
2023-06-09,"Shillong, Meghalaya",Meghalaya,7.46,0.35,130.02,561.28,26.1,122.5,133.0,1.7,3.2,Piped Supply,1,1,6,1,34,0.95,High,Hepatitis A,Elderly
2023-02-14,"Agartala, Tripura",Tripura,8.14,3.04,43.65,149.12,26.7,0.6,144.0,3.9,4.5,Bore Well,0,0,2,0,0,0.26,None,None,None
2024-07-19,"Tura, Meghalaya",Meghalaya,8.45,0.12,3.43,7.17,20.6,151.2,44.0,4.1,2.7,River/Stream,0,1,7,1,40,0.95,High,Diarrhea,Children
2023-02-16,"Dimapur, Nagaland",Nagaland,7.79,4.95,20.07,92.61,27.6,11.2,91.0,4.5,0.9,Piped Supply,0,0,2,0,0,0.29,None,None,None
2023-04-14,"Lunglei, Mizoram",Mizoram,6.89,5.11,39.43,79.68,27.0,3.6,13.0,1.7,5.9,Piped Supply,1,0,4,1,33,0.59,High,Diarrhea,Children
2024-09-15,"Dimapur, Nagaland",Nagaland,7.07,16.06,98.46,271.29,16.3,90.4,60.0,2.2,5.4,Surface Water,1,1,9,1,51,0.95,High,Gastroenteritis,Adults
2024-12-02,"Aizawl, Mizoram",Mizoram,7.44,0.81,26.05,80.86,25.5,3.8,220.0,1.6,9.1,Bore Well,0,0,12,0,0,0.26,None,None,None
2024-02-15,"Tura, Meghalaya",Meghalaya,7.21,0.77,103.61,261.42,27.8,5.9,102.0,3.2,16.8,River/Stream,0,0,2,1,42,0.95,High,Typhoid,Mixed
2024-10-20,"Imphal, Manipur",Manipur,6.94,5.1,16.2,58.15,19.7,11.4,44.0,2.4,10.4,Surface Water,1,0,10,1,48,0.84,High,Diarrhea,Mixed
2024-01-06,"Shillong, Meghalaya",Meghalaya,7.38,0.03,2.14,8.54,27.2,0.0,65.0,1.7,2.2,Surface Water,0,0,1,1,19,0.44,Medium,Diarrhea,Children
2023-06-06,"Dimapur, Nagaland",Nagaland,7.73,4.72,56.76,225.49,25.4,98.8,22.0,1.1,12.7,Hand Pump,0,1,6,1,46,0.92,High,Cholera,Mixed
2024-06-25,"Tura, Meghalaya",Meghalaya,7.01,3.05,6.52,27.16,23.3,116.8,48.0,4.8,3.0,Bore Well,0,1,6,1,31,0.76,High,Hepatitis A,Elderly
2024-10-18,"Aizawl, Mizoram",Mizoram,5.99,8.25,23.82,88.36,20.7,23.1,24.0,4.0,9.6,Hand Pump,0,0,10,0,0,0.42,None,None,None
2023-09-27,"Churachandpur, Manipur",Manipur,6.43,1.56,49.72,220.28,22.8,118.6,2573.0,3.6,3.3,River/Stream,0,1,9,1,45,0.95,High,Diarrhea,Adults
2023-06-06,"Aizawl, Mizoram",Mizoram,6.81,2.82,23.47,67.11,27.3,73.2,59.0,1.3,11.8,River/Stream,0,1,6,1,41,0.95,High,Gastroenteritis,Elderly
2024-05-15,"Guwahati, Assam",Assam,9.0,3.04,25.9,127.62,32.3,3.6,156.0,2.4,26.3,Piped Supply,0,0,5,0,0,0.49,None,None,None
2023-11-11,"Shillong, Meghalaya",Meghalaya,7.11,5.42,119.06,384.2,20.5,1.4,40.0,4.8,24.8,River/Stream,0,0,11,1,53,0.95,High,Diarrhea,Children
2024-06-29,"Dharmanagar, Tripura",Tripura,6.14,1.28,13.2,56.41,28.8,114.6,118.0,3.6,4.6,Hand Pump,0,1,6,1,44,0.92,High,Cholera,Mixed
2023-08-05,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.85,2.11,29.49,103.51,22.5,112.5,136.0,3.6,22.5,Surface Water,0,1,8,1,49,0.95,High,Typhoid,Elderly
2024-03-24,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.71,2.37,56.76,179.27,34.2,16.2,34.0,3.6,9.5,Bore Well,0,0,3,0,0,0.26,None,None,None
2024-08-25,"Churachandpur, Manipur",Manipur,7.88,4.46,62.98,264.85,19.7,140.4,115.0,5.9,3.3,Surface Water,0,1,8,1,48,0.74,High,Gastroenteritis,Elderly
2023-03-14,"Churachandpur, Manipur",Manipur,6.22,1.68,27.8,118.51,32.4,1.9,56.0,1.7,0.8,Hand Pump,0,0,3,0,0,0.42,None,None,None
2024-08-07,"Kohima, Nagaland",Nagaland,7.46,13.54,25.56,99.57,21.7,29.9,35.0,3.6,0.8,Hand Pump,0,1,8,1,36,0.72,High,Diarrhea,Mixed
2023-12-29,"Lunglei, Mizoram",Mizoram,5.53,6.56,8.64,20.32,28.4,0.8,101.0,4.4,13.8,Bore Well,0,0,12,0,0,0.46,None,None,None
2023-04-11,"Guwahati, Assam",Assam,6.79,3.67,1.7,3.83,32.2,14.7,34.0,1.8,4.4,Piped Supply,0,0,4,1,20,0.29,Medium,Diarrhea,Mixed
2023-05-24,"Lunglei, Mizoram",Mizoram,6.96,1.9,1.16,2.73,28.1,0.6,195.0,3.9,16.2,Hand Pump,0,0,5,0,0,0.42,None,None,None
2024-07-17,"Silchar, Assam",Assam,7.52,1.14,495.43,1008.93,23.7,147.3,60.0,1.0,4.8,River/Stream,0,1,7,0,0,0.95,None,None,None
2023-08-31,"Dibrugarh, Assam",Assam,7.52,4.44,26.33,123.86,25.1,58.2,47.0,1.2,34.3,Hand Pump,1,1,8,1,52,0.95,High,Diarrhea,Children
2024-02-04,"Tura, Meghalaya",Meghalaya,7.32,1.11,33.62,136.29,29.3,2.7,239.0,5.0,7.2,Hand Pump,1,0,2,1,29,0.62,High,Diarrhea,Children
2024-08-16,"Agartala, Tripura",Tripura,7.42,2.85,16.08,45.34,22.0,91.9,57.0,3.9,7.5,Piped Supply,1,1,8,1,42,0.95,High,Hepatitis A,Adults
2023-02-28,"Churachandpur, Manipur",Manipur,5.97,0.36,111.34,396.49,31.8,7.4,178.0,1.9,1.2,Surface Water,0,0,2,1,49,0.94,High,Diarrhea,Children
2024-08-06,"Shillong, Meghalaya",Meghalaya,7.33,1.08,4.4,8.99,24.2,30.6,132.0,1.5,7.8,Bore Well,0,1,8,1,23,0.46,High,Cholera,Elderly
